UID Route,OD Pair Name,Departure,Arrival,Num. of Flights,Cruise Time (min),Total Taxi/Idle (min),Fuel Consumption (kg/pax/mi),CO2 (kg/pax/mi),HC (kg/pax/mi),CO (kg/pax/mi),NOx (kg/pax/mi),NOx Dep Airport (kg/pax/mi),NOx Arr Airport (kg/pax/mi),PM (kg/pax/mi),PM Dep Airport (kg/pax/mi),PM Arr Airport (kg/pax/mi),Pax,Distance (mi),True Dist (mi),Dep Lat,Dep Lon,Arr Lat,Arr Lon,Route Type,Common A/C Type,CO2 Community,Upper/Lower Half,Speed Ratio,Freq. Alice Equivalent,Freq. ZA Equivalent,Flight Hr. Coef,Num. Jet AC,EA EF (kg CO2 eq),ZA EF (kg CO2 eq)
SNACCR,CCRSNA,SNA,CCR,14,60.45714286,18.07142857,0.803134415,2.532778082,0.005524048,0.01246372,0.010681353000000001,0.004164422,0.000582078,0.000102694,1.0300000000000001e-05,1.09e-06,8.357142857000001,379.0774668,379.0774668,33.67570114,-117.86799620000001,37.98970032,-122.0569992,Intra-CA,BE400,35.45889315,1,2.0318181818181817,14.0,14.0,0.0008211630591873735,0.004734592592812963,0.1298,3.7754140539999996
CNOSNA,CNOSNA,CNO,SNA,13,1.9461538459999999,19.03846154,8.407302232000001,26.56595256,0.10755746599999999,0.251350456,0.136880681,0.120526657,0.014950488,0.000404839,0.00031052200000000003,3.28e-05,8.0,24.52002247,24.52002247,33.97470093,-117.637001,33.67570114,-117.86799620000001,Intra-CA,BE400,345.3573832,1,2.0318181818181817,13.0,13.0,0.00016607051282732324,0.00017177777776851853,0.1298,3.7754140539999996
SNACNO,CNOSNA,SNA,CNO,15,5.7,17.43333333,8.024560266,25.35415737,0.09629062599999999,0.22042143,0.129572175,0.11128317,0.014039887,0.000496434,0.00029446400000000003,3.12e-05,8.066666667,24.52002247,24.52002247,33.67570114,-117.86799620000001,33.97470093,-117.637001,Intra-CA,BE400,380.31236060000003,1,2.0318181818181817,15.0,15.0,0.00019952609425757576,0.0005087962962916667,0.1298,3.7754140539999996
CNOVNY,CNOVNY,CNO,VNY,15,11.43333333,17.5,1.551631655,4.896763,0.001227376,0.016865881,0.012211773,0.005288985,0.001266198,9.71e-05,3.2500000000000004e-05,3.26e-06,10.0,51.52755367,51.52755367,33.97470093,-117.637001,34.20980072,-118.4899979,Intra-CA,CL600,73.45144499,1,2.0954545454545452,30.0,15.0,0.0002686557238669192,0.000986666666388889,0.1298,3.7754140539999996
FATOAK,FATOAK,FAT,OAK,118,24.64237288,17.11016949,0.25753849,0.8122242159999999,9.05e-05,0.001137295,0.003926179,0.001554856,0.000270504,2.64e-05,1.55e-06,2.0199999999999998e-07,104.21809909999999,152.59714230000003,152.59714230000003,36.77619934,-119.71800230000001,37.721298,-122.221001,Intra-CA,B752,95.84245752,0,2.0954545454545452,1416.0,826.0,0.00042026189862323226,0.016416777776872223,0.0436,0.9828583332999999
OAKFAT,FATOAK,OAK,FAT,110,25.13636364,20.91818182,0.258772457,0.816136223,0.00010967799999999999,0.0012717339999999998,0.003879127,0.001510054,0.00025397799999999997,2.6000000000000002e-05,1.56e-06,1.95e-07,106.16208540000001,152.59714230000003,152.59714230000003,37.721298,-122.221001,36.77619934,-119.71800230000001,Intra-CA,B752,89.77498456,0,2.0954545454545452,1320.0,880.0,0.00044716827369797977,0.015644444446685186,0.0436,0.9828583332999999
FATSJC,FATSJC,FAT,SJC,42,20.24285714,17.97619048,0.6363914829999999,2.006530183,0.00024684,0.0043187090000000004,0.007831936,0.00146137,0.00040172900000000003,3.98e-05,3.5e-06,2.93e-07,12.76190476,128.69162120000001,128.69162120000001,36.77619934,-119.71800230000001,37.362598,-121.929001,Intra-CA,E175,84.27426771,1,1.9545454545454546,84.0,42.0,0.00035800986050000004,0.004820074073422222,0.0436,0.9828583332999999
SJCFAT,FATSJC,SJC,FAT,46,20.18695652,15.5,0.744108555,2.3461193430000002,0.000205094,0.004142418,0.009963631,0.00200091,0.000524115,5.96e-05,4.59e-06,3.9e-07,13.95652174,128.69162120000001,128.69162120000001,37.362598,-121.929001,36.77619934,-119.71800230000001,Intra-CA,E175,107.9214898,1,1.9545454545454546,92.0,46.0,0.00034364624504040406,0.005254296295851852,0.0436,0.9828583332999999
FATSMF,FATSMF,FAT,SMF,13,28.02307692,19.03846154,0.362623221,1.143088473,6.850000000000001e-05,0.001899799,0.004512844,0.000708913,0.000209653,2.22e-05,1.57e-06,8.619999999999999e-08,33.11538462,167.4534959,167.4534959,36.77619934,-119.71800230000001,38.69540024,-121.5910034,Intra-CA,CL700RJ,14.86015015,0,2.0318181818181817,52.0,39.0,0.0004604236596474747,0.0020551111108907407,0.0436,0.9828583332999999
FATSNA,FATSNA,FAT,SNA,14,47.17142857,16.28571429,0.765807131,2.414621394,0.0030963790000000002,0.008480005,0.009516844,0.0029179370000000002,0.00048361599999999997,0.00011892299999999999,7.04e-06,7.76e-07,14.21428571,237.97122230000002,237.97122230000002,36.77619934,-119.71800230000001,33.67570114,-117.86799620000001,Intra-CA,BE400,33.80469951,1,2.0318181818181817,28.0,14.0,0.0006612748917825757,0.003698944444338889,0.0436,0.9828583332999999
